No,Perusahaan,Alamat,KBLI
19070.,CV Central,Telp.,
19071.,PT Central Arenaperkasa,"Jl. Narogong Km 6,5 Kp. Rawaroko, RT. 07, RW. 03, Bojong Rawalumbu, Rawalumbu, Kota Bekasi, Jawa Barat Telp. 0218203908",11051
19072.,PT Central Arte Sukses,"Jln Romokalisari Industri III no.24, Romokalisari, Benowo, Kota Surabaya, Jawa Timur Telp. 031-99101980",31001
19073.,PT Central Asia Building,"Jl. Raya Geladak Manyar No.8A, Manyarsidomukti, Manyar, Kabupaten Gresik, Jawa Timur Telp. 03139933318",22230
19074.,PT Central Automatic System,"Jalan Alfa VI Nomor 192, Desa/Kelurahan Cimone, Kec. Karawaci, Kota Tangerang, Provinsi Banten Kode Pos: 15114, Cimone, Karawaci, Kota Tangerang, Banten Telp. 02122621447",28140
19075.,CV Central Baja Makmur,"Sumber Agung, Dusun I, Kel. Sumber Agung, Kec. Buay Madang, Kab Ogan Komering Ulu Timur, Sumatera Selatan, Sumber Agung, Buay Madang, Kabupaten Ogan Komering Ulu Ti, Sumatera Selatan Telp. 081*********",25111
19076.,CV CENTRAL BAJA UTAMA,Telp.,
19077.,PT Central Bali Bahari,"Desa Merak Belantung, Desa/Kelurahan Merak Belatung, Kec. Kalianda, Kab. Lampung Selatan, Provinsi Lampung, Kode Pos: 35551, Merak Belatung, Kalianda, Kabupaten Lampung Selatan, Lampung Telp. 0727321336",
19078.,PT Central Bandung Raya,"JL GUNUNG ANYAR TAMBAK NO. 29A, RT 001 RW 001, GUNUNG ANYAR TAMBAK, Gununganyar, Kota Surabaya, Jawa Timur Telp.",
19079.,PT Central Berkat Indonesia,"Jl. Asutralia I, KAV-H2/1, KIEC - Cilegon, Warnasari, Citangkil, Kota Cilegon, Banten Telp. 0254-392515",25120
19080.,PT Central Beton Nusantara,"Kp. Pamokolan RT. 02 RW. 05, Sukamanah, Karangtengah, Kabupaten Cianjur, Jawa Barat Telp. 082*********",19291
19041.,PT CENDO,"JL.CISIRUNG PALASARI(JL.MOCH TOHA KM 6,7), PASAWAHAN, DAYEUHKOLOT, Kabupaten Bandung, Jawa Barat Telp. 0225208222",
19042.,PT Cendo,"Jl. Moh Toha Km 6,7 ( cisirung palasari), Pasawahan, Dayeuhkolot, Kabupaten Bandung, Jawa Barat Telp. 0225208222",21012
19043.,PR Cendol Malino Inayah,Telp.,
19044.,PR Cendra,"seputuk, Seputuk, Muruk Rian, Kabupaten Tana Tidung, Kalimantan Utara Telp. 085*********",16291
19045.,PR CENDRA AKMAL,Telp.,
19046.,CV Cendrawasih Garam Sinarta,"JL RAYA BAYUR NO 89, PERIUK JAYA, PERIUK, Kota Tangerang, Banten Telp. 02159586784",10774
19047.,PT CENDRAWASIH GARMINDO INTERNATIONAL,"KAWASAN INDUSTRI DAN PERGUDAGAN MARUNDA CENTER BLOK B NO 52 JL MARUNDA MAKMUR DESA SEGARA MAKMUR, -, TARUMAJAYA, Kabupaten Bekasi, Jawa Barat Telp. 02122889205",
19048.,CV Cendrawasih Ika Plastindo,"LAKSDA ADI SUCIPTO 87 MALANG, BLIMBING, BLIMBING, Kota Malang, Jawa Timur Telp. 081*******",22292
19049.,PR Cendri,"Desa Koto Dian, Koto Dian, Hamparan Rawang, Kota Sungai Penuh, Jambi Telp. 000000000000",14120
19050.,PT CENGKARENG PERMAI,"Jl. Raya Purwakarta - Subang KM.14 RT/RW 004/002, Desa Cilandak, Cibatu, Kabupaten Purwakarta, Jawa Barat Telp. 0264-211431",23959
19051.,CV Cengkeh Mas,"Jl. Lingkar Timur CIP Blok Gamma No. 19, Kel. Kemiri, Kec. Sidoarjo, Kab. Sidoarjo, Prov. Jawa Timur, Kemiri, Sidoarjo, Kabupaten Sidoarjo, Jawa Timur Telp. 082*********",12011
19052.,PR Cengkir Gading,"Jl. Bengawan Solo II No. 04, Ringinanom, Nganjuk, Kabupaten Nganjuk, Jawa Timur Telp. (0358) 322162",12011
19053.,PR Cengkir Mas,"desa gempolsari rt 01 rw 01, gempolsari, tanggulangin, Kabupaten Sidoarjo, Jawa Timur Telp.",12011
19054.,CV Cengli Mas,"Jl.Lingkar Timur CIP Blok Gamma No.20, Kemiri, Sidoarjo, Kabupaten Sidoarjo, Jawa Timur Telp. 082*********",12011
19055.,PR Cening Nuasih,Telp.,
19056.,PR Cening Putrayana,"JL.SUPRAPTO DESA SUKADAMAI KECAMATAN TIWORO TENGAH KABUPATEN MUNA BARAT, Suka Damai, Tiworo Tengah, Kabupaten Muna Barat, Sulawesi Tenggara Telp. 081*********",25932
19057.,PR Cening Suarsana,"Banjar Dinas Kawanan, Sawan, Sawan, Kabupaten Buleleng, Bali Telp. 081*********",25933
19058.,PR Cenny Putnarubun,"jl. DR. J. LAIMENA, Ketsoblak, Pulau Dullah Selatan, Kota Tual, Maluku Telp. 085*********",10422
19059.,PT Centa Brasindo Abadi Chemical Industry,"Jalan Raya Cikande Rangkasbitung KM.9, Majasari, Jawilan, Kabupaten Serang, Banten Telp. 0254-480162",20212
19060.,CV Centerindo Kurnia Tritama,"Bulu, Desa/Kelurahan Trimulyo, Kec. Jetis, Kab. Bantul, Provinsi Daerah Istimewa Yogyakarta 55781, Trimulyo, Jetis, Kabupaten Bantul, DI Yogyakarta Telp. 083*********",11090
19021.,CV Cenayang 19,"Jl. Amerta II No. 10, Langensari, Tarogong Kaler, Kabupaten Garut, Jawa Barat Telp. 081*******",13923
19022.,PR Cendana,"BULAKAN BALAI KANDI, Desa/Kelurahan Bulakan Balai Kandi, Kec. Payakumbuh Barat, Kota Payakumbuh, Bulakan Balai Kandi, Payakumbuh Barat, Kota Payakumbuh, Sumatera Barat Telp. 085*********",
19023.,PR Cendana,"Jl. ANDI LATANRATU, Takatidung, Polewali, Kabupaten Polewali Mandar, Sulawesi Barat Telp. 085*********",10710
19024.,CV Cendana Citra Lestari,Telp.,
19025.,PR Cendana Citra Mandiri,"Desa burikan RT 3 RW 2 no. 341, Burikan, Kota Kudus, Kabupaten Kudus, Jawa Tengah Telp. 087*********",12011
19026.,PT Cendana Food Palu,Telp.,
19027.,CV Cendana Grafika Advertising,Telp.,
19028.,PT Cendana Han Wijaya,Telp.,
19029.,PT Cendana Han Wijaya,"KAWASAN SARANA INDUSTRIAL POINT BLOK B NO 11, BELIAN, BATAM KOTA, Kota Batam, Kepulauan Riau Telp. 0778-7100788",10710
19030.,PT Cendana Mustika Cundamani Indonesia,"Desa Burikan Rt 003 Rw 002, Burikan, Kota Kudus, Kabupaten Kudus, Jawa Tengah Telp. 082*********",12011
19031.,CV Cendana Nuansa Karya,"Jl. Papa Kuning 2 No. 25, Mojolangu, Lowokwaru, Kota Malang, Jawa Timur Telp. 085*********",26220
19032.,CV Cendana Organizer,Telp.,
19033.,PT Cendana Putera Lestari,"JL.TANJUNG MORAWA BATANG KUIS KM.5, Dalu Sepuluh-A, Tanjung Morawa, Kabupaten Deli Serdang, Sumatera Utara Telp. 085*********",17022
19034.,PT Cendana Putera Lestari,"Jr Kt. Panjaringan, Bukik Limbuku, Harau, Kabupaten Lima Puluh Kota, Sumatera Barat Telp. 085*********",17022
19035.,PT CENDANA PUTRA NUSANTARA,"DUSUN BUBUR RT 10 RW 03, PARAS, TEGALSIWALAN, Kabupaten Probolinggo, Jawa Timur Telp. 02476631018",
19036.,PT Cendana Teknika Utama,"Jl. Papa Kuning II No. 25, Mojolangu, Lowokwaru, Kota Malang, Jawa Timur Telp. 0341-496497",26220
19037.,PT Cendawan Medicatama Indonesia,"Jl. Kusuma raya No. 149, Kota Bekasi, Arenjaya, Bekasi Timur, Kota Bekasi, Jawa Barat Telp. 021 88355048",32501
19038.,CV Cendekia Adhi Permata,Telp.,
19039.,PR Cendela Cookies,Telp.,
19040.,PT Cendikia Jaya Sentosa,"Jl. KH Hasyim Ashari, Komplek DPR Blok C-14, Nerogtog, Pinang, Kota Tangerang Selatan, Banten Telp. 02129860662",33200
19401.,CV Charothy Cosmetic,"Jl. Prepedan Raya Blok DA - DC No. 198 RT 001 RW 009, Kamal, Kalideres, Kota Jakarta Barat, DKI Jakarta Telp. (021) 5551209",20232
19402.,PR Charu Dhatri,"jln. Semangka no.36 rt32/rw10, Taman, Taman, Kota Madiun, Jawa Timur Telp. 087*********",16292
19403.,UD Chasanah,"Pencol, Cangakan, Kasreman, Kabupaten Ngawi, Jawa Timur Telp. 085***********************",23953
19404.,PR Chastrio Sefa,"lembah neidam, Lembah Neidam, Sarmi, Kabupaten Sarmi, Papua Telp. 081*********",
19405.,PR Chatarina Patasik,"Bulo, Tondon Mamullu, Makale, Kabupaten Tana Toraja, Sulawesi Selatan Telp. 085*********",14120
19406.,PR Chatarina Susanti,"Perumda Blok K-04 RT 021 RW 007, Sumbang, Bojonegoro, Kabupaten Bojonegoro, Jawa Timur Telp. +62 812-3083-7595",10794
19407.,PR Chatarina Yuli Megawati Oroh,"JL PURNAWIRAWAN GG CENGKEH II NO 16, Gedong Meneng Baru, Rajabasa, Kota Bandar Lampung, Lampung Telp. 089*********",10750
19408.,PT CHATEDA,"JL. Y No.58A RT.005 RW003, CIPINANG MUARA, JATINEGARA, Kota Jakarta Timur, DKI Jakarta Telp. 02184998461",
19409.,PT Chateda,"jl Y ujung, cipinang muara, jatinegara, Kota Jakarta Timur, DKI Jakarta Telp. 021 85908166",
19410.,PT Chateraise Indonesia Manufacturing,"JL. RAYA TAJUR RT.004 RW 002, TARIKOLOT, CITEUREUP, Kabupaten Bogor, Jawa Barat Telp. 021-87944123",10710
19411.,PT Chatindo Karya Utama,"TAMAN INDUSTRI BLOK C-3 NO.7, Jatibarang, Mijen, Kota Semarang, Jawa Tengah Telp. 02476431175",20222
19412.,CV Chawan Garmen Abadi,"Desa Gumiwang RT 003 RW 007, Gumiwang, Purwanegara, Kabupaten Banjarnegara, Jawa Tengah Telp. +622865964252",14111
19413.,PR Chaya Sausan Afrah,"Kp. Blok Jambu, Tenjo, Tenjo, Kabupaten Bogor, Jawa Barat Telp. 085*********",11090
19414.,PR Chayaningsih,Telp.,
19415.,PT Chayra Dua Putra,Telp.,
19416.,PR Chayunah,"Jl.Anggur 7 Blok H. No.10,Ds.Kel.Bugul Kidul,Kec.Bugul Kidul Kota Pasuruan, Bugul Kidul, Bugul Kidul, Kota Pasuruan, Jawa Timur Telp. 081*********",10710
19417.,PR Cheestik,"Jl. Menara Air no 54 dusun VII, Belo Laut, Muntok, Kabupaten Bangka Barat, Kepulauan Bangka Belitung Telp. 085*********",10710
19418.,PT Cheetham Garam Indonesia,"Jalan Australia I kav 1.3/1 Kawasan Industri KIEC, Kotasari, Grogol, Kota Cilegon, Banten Telp. 0254-310317",20111
19419.,PT Cheetham Garam Indonesia,"Jl Mbay-Riung Km 20, Ngolonio, Aesesa, Kabupaten Nagekeo, Nusa Tenggara Timur Telp.",10774
19420.,PT Cheetham Garam Indonesia,"Jl. Mbay-Riung KM 20, Nggolonio, Aesesa, Kabupaten Nagekeo, Nusa Tenggara Timur Telp. 0",10774
19381.,PT Charoen Pokphand Indonesia,"Jalan Pulau Jawa No.1 KIM 1, Kelurahan Mabar, Kecamatan Medan Deli, Mabar, Medan Deli, Kota Medan, Sumatera Utara Telp. 061 -6850 003",
19382.,PT Charoen Pokphand Indonesia,"Jl. Raya Semarang Demak KM.8, Kelurahan Trimulyo, Kecamatan Genuk, Kota Semarang dan Kelurahan Sriwulan, Kecamatan Sayung, Sriwulan, Sayung, Kabupaten Demak, Jawa Tengah Telp. (024) 6582142",10801
19383.,PT Charoen Pokphand Indonesia,"Jl. KIMA 17 Kav DD-11, Bira, Tamalanrea, Kota Makassar, Sulawesi Selatan Telp. 082*********",10801
19384.,PT Charoen Pokphand Indonesia,"Jl. Ir . Sutami Km. 15, Desa Rejomulyo, Kecamatan Tanjung Bintang, Kabupaten Lampung Selatan, Lampung Telp. 0721350593",10801
19385.,PT Charoen Pokphand Indonesia,"Jl. Modern CP  Industri  Blok CP 1B No. 11 RT/RW 003/001 Desa Babakan Kec. Bandung Kab. Serang, Babakan, Bandung, Kabupaten Serang, Banten Telp. 0254 2252 777",22292
19386.,PT Charoen Pokphand Indonesia,"Jl Industri Modern II No 15 Kawasan Industri Modern, Desa Nambo Ilir, Kecamatan Kibin, Nambo Ilir, Kibin, Kabupaten Serang, Banten Telp. 088**********",10130
19387.,PT Charoen Pokphand Indonesia,"JL. Modern Industri II Kav. 20, Desa Nambo Ilir, Kibin, Kabupaten Serang, Banten Telp. 088**********",10614
19388.,PT Charoen Pokphand Indonesia,"Jln. Modern Industri VI Kav. 1, Kawasan Industri Modern Cikande, Desa Nambo Ilir, Kecamatan Kibin, Nambo Ilir, Kibin, Kabupaten Serang, Banten Telp. 0254-2252150",10750
19389.,PT Charoen Pokphand Indonesia,"Desa Bengkel Sari, Kecamatan Selemadeg Barat, Bengkel Sari, Salemadeg Barat, Kabupaten Tabanan, Bali Telp. 0361-2095353",
19390.,PT Charoen Pokphand Indonesia,"Jl. Surabaya  Mojokerto KM. 26, Desa Keboharan, Kec. Krian, Kab. Sidoarjo, Desa Keboharan, Kecamatan Krian, Keboharan, Krian, Kabupaten Sidoarjo, Jawa Timur Telp. 031-8972992",10801
19391.,PT Charoen Pokphand Indonesia,"Jalan Berbek Industri I No. 24, Desa Berbek, Kecamatan Waru, Berbek, Waru, Kabupaten Sidoarjo, Jawa Timur Telp. 031-8431978",10130
19392.,PT Charoen Pokphand Indonesia,"Jalan Trans Sulawesi, Desa Pongongaila, Pulubala, Kabupaten Gorontalo, Gorontalo Telp. 082**********",10801
19393.,PT Charoen Pokphand Indonesia,"Jl. Raya Cicalengka-Majalaya Km.4 Blok Panggoleran, Desa Cikasungka, Kecamatan Cikancung, Cikasungka, Cikancung, Kabupaten Bandung, Jawa Barat Telp. 022-86015100",10130
19394.,PT Charoen Pokphand Indonesia,"Jalan Pulau Solor No.2 KIM 2, Desa Saentis, Kecamatan Percut Sei Tuan, Saentis, Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara Telp. 061-6871410",10130
19395.,PT Charoen Pokphand Indonesia,"Kawasan Modern Industrial Estate Kav. 6 - 8, Jl. Modern Industri IV, Nambo Ilir, Cikande, Kabupaten Serang, Banten Telp. 0254-402628",10130
19396.,PT Charoen Pokphand Indonesia,"KAWASAN INDUSTRI PADANG KORONG BINTUNGAN NAGARI KASANG, Kasang, Batang Anai, Kabupaten Padang Pariaman, Sumatera Barat Telp. 081*********",10801
19397.,PT Charoen Pokphand Indonesia,Telp.,
19398.,PT Charoen Pokphand Indonesia,"Jalan Raya Ajibarang, Windunegara, Wangon, Kabupaten Banyumas, Jawa Tengah Telp. 0281",
19399.,PT Charoen Pokphand Indonesia,"Jalan Raya Rajeg, Sumbergedang, Pandaan, Kabupaten Pasuruan, Jawa Timur Telp. 081*********",11051
19400.,PT Charoen Pokphand Indonesia,"Padang Industrial Park, Korong Bintungan, Kasang, Batang Anai, Kabupaten Padang Pariaman, Sumatera Barat Telp. 082*********",10801
19361.,PR Charles Irianto Bernard,"Jl. SMA Katalik, Watulambot, Tondano Barat, Kabupaten Minahasa, Sulawesi Utara Telp. 089*********",10794
19362.,PR Charles M Sitompul,"JALAN SOSOR GONTING, KEL. SOSOR GONTING, Kec. Dolok Sanggul Kab. Humbang Hasundutan, Sosor Gonting, Dolok Sanggul, Kabupaten Humbang Hasundutan, Sumatera Utara Telp. 085*********",25111
19363.,PR Charles Sonny Sarajar,"JL. TRANS SULAWESI JAGA VIII, Kapitu, Amurang Barat, Kabupaten Minahasa Selatan, Sulawesi Utara Telp. 082*********",10710
19364.,PR Charles Suruan,"kampung sawar, Desa/Kelurahan Sawar, Kec. Sarmi, Sawar, Sarmi, Kabupaten Sarmi, Papua Telp. 082*********",
19365.,PR Charlia Pattiwaellapia,"Hative Kecil, Hative Kecil, Sirimau, Kota Ambon, Maluku Telp. +62 821-9770-4164",10794
19366.,PR Charly Mamanua,Telp.,
19367.,PT Charlywijaya Tuna,"TPT No. 24 Dermaga Timur, Perum Prasarana Perikanan Samudera Cabang Jakarta, Penjaringan, Penjaringan, Kota Jakarta Utara, DKI Jakarta Telp. 021-6694880",
19368.,PT CHARMA PALUTA ENERGY,Telp.,
19369.,PR Charment Riry,"Jalan Said Perintah, No. 32, Honipopu, Sirimau, Kota Ambon, Maluku Telp. 081*********",10794
19370.,PT Charmindo Mitra Raharja,"Komplek Pergudangan Semanan Megah II Kav. B19 RT. 007 RW. 005, Semanan, Kalideres, Kota Jakarta Barat, DKI Jakarta Telp. 02129725204",17091
19371.,PT Charmor Indotex Abadi,"Kp.Cantilan,Jalan Soreang Cipatik KM.7 No.168B, Gajah Mekar, Kutawaringin, Kabupaten Bandung, Jawa Barat Telp. 081*********",13112
19372.,PT Charoen Pokphand Indonesia,"Jl. Surabaya  Mojokerto KM.19 Desa Bringinbendo, Kecamatan Taman, Bringinbendo, Taman, Kabupaten Sidoarjo, Jawa Timur Telp. 031-7882840",10801
19373.,PT Charoen Pokphand Indonesia,"Ngoro Industri Persada Blok U 11/12, Desa Lolawang, Kecamatan Ngoro, Kabupaten Mojokerto, Desa Lolawang, Kecamatan Ngoro, Kabupaten Mojokerto, Jawa Timur Telp. 0321-6817878",10130
19374.,PT Charoen Pokphand Indonesia,"Jl Industri Modern II No 18 Kawasan Industri Modern Cikande, Desa Nambo Ilir, Kibin, Kabupaten Serang, Banten Telp. 088********",10750
19375.,PT Charoen Pokphand Indonesia,"Jl Patimura Km 1, Kutowinangun Lor, Tingkir, Kota Salatiga, Jawa Tengah Telp. 0298 -327352",10130
19376.,PT Charoen Pokphand Indonesia,"Lokasi pabrik: Jl. Raya Semarang Demak KM.9 Kelurahan Purwosari & Sayung, Kecamatan Sayung, Purwosari, Sayung, Kabupaten Demak, Jawa Tengah Telp. (024) 6582142",10801
19377.,PT Charoen Pokphand Indonesia,"Jl. Raya Serang KM 30 - Balaraja, Cangkudu, Balaraja, Kabupaten Tangerang, Banten Telp. -",10801
19378.,PT Charoen Pokphand Indonesia,"Jalan Raya Cirebon-Brebes KM11, Desa Astanajapura, Kecamatan Astanajapura, Astanajapura, Astanajapura, Kabupaten Cirebon, Jawa Barat Telp. 0231-510900",10801
19379.,PT Charoen Pokphand Indonesia,"Jalan Pulau Sumbawa No.5 KIM II Medan, Desa Saentis, Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara Telp. 061 6852 288",10801
19380.,PT Charoen Pokphand Indonesia,"Jl. Modern CP Industri No. 9, Desa Babakan, Kecamatan Bandung, Babakan, Bandung, Kabupaten Serang, Banten Telp. 0254 2252999",22220
19341.,PT Chantica Karya Lestari,"Jl. Asoka Dusun Kedungdadap RT.002/RW.003, Rejamulya, Kedungreja, Kabupaten Cilacap, Jawa Tengah Telp. 087*********",12091
19342.,PT Chantik Mebel Industry,"Jl. Bukit Putih no.19, Ardirejo, Panji, Kabupaten Situbondo, Jawa Timur Telp. 0338675788",31001
19343.,PR Chantika Pertiwi,"Dusun Padang I RT.006 RW.003, Padang, Manggar, Kabupaten Belitung Timur, Kepulauan Bangka Belitung Telp. -",10710
19344.,PT Chanting Pradana,"Kp. Pancur RT 02/05, Desa. Bojongleles, Kec. Cibadak, Kab. Lebak, Bojong Leles, Cibadak, Kabupaten Lebak, Banten Telp. 085*********",13134
19345.,PT Chantique Inti Decor,"Jalan Raya Semarang Purwodadi KM 17,8, Kalitengah, Mranggen, Kabupaten Demak, Jawa Tengah Telp. 0246735496",31004
19346.,CV Chanur Jaya,"JL.MESS AL JATIRANGGON, Jatiranggon, Jatisampurna, Kota Bekasi, Jawa Barat Telp. 02128679076",10130
19347.,PT CHAO LONG MOTOR PARTS INDONESIA,"JL.MERANTI I BLOK L2 NO.5-6 DELTA SILICON INDUSTRIAL PARK LIPPO CIKARANG, SUKARESMI, CIKARANG SELATAN, Kabupaten Bekasi, Jawa Barat Telp. 02189118283-87",29300
19348.,PR Chara Rahmawati,Telp.,10710
19349.,PT Charged Tech Indonesia,Telp.,
19350.,PR Charia Okviyanti,Telp.,
19351.,CV Charielz,"JALAN TERUSAN BATUNUNGGAL NOMOR 3,Desa/Kelurahan Mengger, Kec. Bandung Kidul, Kota Bandung, Provinsi Jawa Barat, Kode Pos: 40267, Mengger, Bandung Kidul, Kota Bandung, Jawa Barat Telp. 081*********",
19352.,CV Charindo Label,"Jln. Raya Prancis No.2 , Komplek Pergudangan Pantai Indah Dadap , Blok Q3, Dadap, Kosambi, Kabupaten Tangerang, Banten Telp. 021-55961188",18111
19353.,PT Charis Makmur Sejahtera,Telp.,
19354.,PR Charis Widiyastiningrum,Telp.,
19355.,CV Charisma Karya Frenson,"BAHALIMBALO,, Paranginan Selatan, Paranginan, Kabupaten Humbang Hasundutan, Sumatera Utara Telp. 081*********",31001
19356.,PR Charisma Nurul Hidayati,Telp.,
19357.,PR Charisman Zega,Telp.,
19358.,PT Charismatama Craftindo,"Kalimas Barat 57A, Krembangan  Utara, Pabean Cantian, Kota Surabaya, Jawa Timur Telp. 0313528453",22299
19359.,PR Charla Siahaya,"Dusun Waisari, Kairatu, Kairatu, Kabupaten Seram Bagian Barat, Maluku Telp. 082*********",11090
19360.,PR Charles Gustaf Aldrin Johannes,Telp.,
19321.,PT Chang Chow Plastic,Telp.,
19322.,PT CHANG CHUN DPN CHEMICAL INDUSTRY,"JL.JABABEKA XI BLOK G18-G23 CIKARANG INDUSTRIAL ESTATE, HARJA MEKAR, CIKARANG UTARA, Kabupaten Bekasi, Jawa Barat Telp. 021-8934205",20131
19323.,PT Chang Hong Yin Hua,"Kawasan Industri Dahlia Cahaya, Kp. Cibadak Rt.015 Rw.006, Bojong, Cikupa, Kabupaten Tangerang, Banten Telp. 021-59642568",15201
19324.,PT Chang Jaya Abadi,"Jl. Kamal Indah II B/E - 16, kamal, kalideres, Kota Jakarta Barat, DKI Jakarta Telp. 081*********",11010
19325.,PT Chang Jian Chemical Industry,"Jl. Raya Leuweunghapit blok rabu, Leuweunghapit, Ligung, Kabupaten Majalengka, Jawa Barat Telp. 082*********",20221
19326.,PT CHANG JUI FANG INDONESIA,"Jl. Raya Losarang KM 71, Pangkalan, Losarang, Kabupaten Indramayu, Jawa Barat Telp. 0234-505701",23929
19327.,PT Chang Shin Indonesia,"JL DUSUN GINTUNGKOLOT RT 16 RW 04 DESA GINTUNGKERTA, DESA GINTUNGKERTA, KLARI, Kabupaten Karawang, Jawa Barat Telp. 0267 8617717",15202
19328.,PT Chang Sung Precision Indonesia,"Jl. Kenari 2 Blok G1B-12, Delta Silicon 5, Lippo Cikarang, Sukamahi, Cikarang Pusat, Kabupaten Bekasi, Jawa Barat Telp. 081*********",22299
19329.,CV Changdong Indonesia,"Jl.Gondang No 13 Kp Kusuma jaya RT001/RW010, Mustikajaya, Mustikajaya, Kota Bekasi, Jawa Barat Telp. 081*********",28221
19330.,PT Changdong Indonesia Utama,"Jl.Gondang No 13 Kp Kusuma jaya RT001/RW010, Mustikajaya, Mustikajaya, Kota Bekasi, Jawa Barat Telp. 081*********",28210
19331.,PT CHANGHONG ELECTRIC INDONESIA,"Jl. Bhumimas 1 No. 5, Kawasan Industri Cikupa Mas II RT.05/RW.01, Talagasari, Cikupa, Kabupaten Tangerang, Banten Telp. 021-29320395",26410
19332.,PT Changshin Reksa Jaya,"JL. RAYA LELES, KP. KARANGMEKAR, RT.02/RW.08., Ciburial, Leles, Kabupaten Garut, Jawa Barat Telp. 0262456800",15202
19333.,PT Changshin Tooling Indonesia,"Jl. Ir H Juanda RT 001 RW 005 No 18, Jomin Barat, Kota Baru, Kabupaten Karawang, Jawa Barat Telp. +62 821-1804-8118",28221
19334.,"PT CHANGSHU LONGTENG ROLLING ELEMENT Co., Ltd.","Tonggang Industrial District, Meili Town, Changshu, Jiangsu, China, , , , DKI Jakarta Telp. +86051252262880",
19335.,PT Changsu Industrial Indonesia,Telp.,
19336.,PT Changyuan Bags Indonesia,Telp.,15121
19337.,PT Changzhou Jiesen Indonesia,"Kawasan Industri Candi Blok 15 No. 1, Bambankerep, Ngaliyan, Kota Semarang, Jawa Tengah Telp. 081*********",16215
19338.,UD CHANIATRI MAYASTUTI,"JL MAMPANG PRAPATAN RAYA NO 100, Duren Tiga, Pancoran, Kota Jakarta Selatan, DKI Jakarta Telp. 085*********",14111
19339.,PT Chanindo Pratama,Telp.,
19340.,PT Perorangan Channel Operations Indonesia,"Jl Imam Bonjol No 163, Pindrikan Kidul, Semarang Tengah, Kota Semarang, Jawa Tengah Telp. 082*********",62029
19301.,PR Chandra Maringka,"Tatengesan, Tatengesan, Pusomaen, Kabupaten Minahasa Tenggara, Sulawesi Utara Telp. 089*********",10710
19302.,PT Chandra Nickel Cobalt Industry,Telp.,
19303.,PT CHANDRA NUGERAH CEMERLANG,"JL AKASIA 2 BLOK AE NO 25 DELTA SILICON INDUSTRIAL PARK, SUKARESMI, CIKARANG SELATAN, Kabupaten Bekasi, Jawa Barat Telp. 085*********",30912
19304.,PT CHANDRA NUGERAHCIPTA,"Kawasan Industri Lippo City Blok A8-1B Delta Silicon, Sukaresmi, Cikarang Selatan, Kabupaten Bekasi, Jawa Barat Telp. 085*********",30912
19305.,PT Chandra Pratama Motor,"JL. RAYA KALIBANGER KM 3, Sokorejo, Pekalongan Timur, Kota Pekalongan, Jawa Tengah Telp. 0285420020",45201
19306.,PT Chandra Printing Indonesia,"Jl. Jelambar Selatan XI No.29 Rt 05/05, Jelambar Baru, Grogol Petamburan, Kota Jakarta Barat, DKI Jakarta Telp. 0215676234",17019
19307.,PR Chandra Purnama Sari,"Jalan Projakal, Desa/Kelurahan Graha Indah, Kec. Balikpapan Utara, Kota Balikpapan, Provinsi Kalimantan Timur, Graha Indah, Balikpapan  Utara, Kota Balikpapan, Kalimantan Timur Telp. 085*********",10794
19308.,PT Chandra Putra Kharisma,Telp.,
19309.,CV Chandra Rosaady Pasya,"Jl. Pasir impun atas no.17 cibentar Rt01/09 ds cikadut kec. Cimenyan kab. Bandung, Cikadut, Cimenyan, Kabupaten Bandung, Jawa Barat Telp. 628**********",14111
19310.,PR Chandra Setiawan Kusuma,"Jl. Sorosutan RT.15 RW.04, Sorosutan, Umbulharjo, Kota Yogyakarta, DI Yogyakarta Telp. 087*********",10750
19311.,PR Chandra Solichin,"GG LONTAR V/ 7 RT 14 RW 06, Tanjung Duren Utara, Grogol Petamburan, Kota Jakarta Barat, DKI Jakarta Telp. 088**********",10710
19312., Chandra Sugandhi,Telp.,
19313.,CV Chandra Sukses Abadi,"KP.PASIR KACAPI RT.004 RW.005, Caringin, Cisoka, Kabupaten Tangerang, Banten Telp. 081*********",20221
19314.,PR Chandra Wijaya,"Desa Muara Jaya,Kec Sukadana,Kab.Lampung Timur, Prov Lampung, Muara Jaya, Sukadana, Kabupaten Lampung Timur, Lampung Telp. 082*********",10621
